stream,department,job_role,company_level,company_name,company_locations
Engineering,AIDS,Data Analyst,Startup,Fractal Analytics,Bangalore
Engineering,AIDS,Data Scientist,Startup,Mu Sigma,Bangalore
Engineering,AIDS,ML Engineer,Startup,SigTuple,Bangalore
Engineering,AIDS,AI Engineer,Startup,Mad Street Den,Chennai
Engineering,AIDS,Business Analyst,Startup,Tiger Analytics,Chennai
Engineering,AIDS,Data Analyst,Mid,Accenture,Hyderabad
Engineering,AIDS,Data Scientist,Mid,TCS,Bangalore
Engineering,AIDS,ML Engineer,Mid,Infosys,Bangalore
Engineering,AIDS,AI Engineer,Mid,Wipro,Hyderabad
Engineering,AIDS,Business Analyst,Mid,Cognizant,Chennai
Engineering,AIDS,Data Scientist,High,Google,Bangalore
Engineering,AIDS,ML Engineer,High,Amazon,Hyderabad
Engineering,AIDS,AI Engineer,High,Microsoft,Hyderabad
Engineering,AIDS,Data Analyst,High,Meta,Bangalore
Engineering,AIDS,Research Scientist,High,IBM Research,Bangalore
Engineering,AIML,ML Engineer,Startup,Arya.ai,Bangalore
Engineering,AIML,AI Engineer,Startup,Haptik,Mumbai
Engineering,AIML,Deep Learning Engineer,Startup,Niramai,Bangalore
Engineering,AIML,NLP Engineer,Startup,Yellow.ai,Bangalore
Engineering,AIML,Computer Vision Engineer,Startup,Mad Street Den,Chennai
Engineering,AIML,ML Engineer,Mid,Wipro,Bangalore
Engineering,AIML,AI Engineer,Mid,Infosys,Hyderabad
Engineering,AIML,Deep Learning Engineer,Mid,TCS,Chennai
Engineering,AIML,NLP Engineer,Mid,Accenture,Bangalore
Engineering,AIML,Computer Vision Engineer,Mid,Cognizant,Pune
Engineering,AIML,ML Engineer,High,Google,Bangalore
Engineering,AIML,AI Engineer,High,Microsoft,Hyderabad
Engineering,AIML,Deep Learning Engineer,High,Amazon,Hyderabad
Engineering,AIML,NLP Engineer,High,Meta,Bangalore
Engineering,AIML,Computer Vision Engineer,High,NVIDIA,Pune
Engineering,CSE,Frontend Developer,Startup,Zeta,Bangalore
Engineering,CSE,Backend Developer,Startup,Razorpay,Bangalore
Engineering,CSE,Full Stack Developer,Startup,Cred,Bangalore
Engineering,CSE,Software Engineer,Startup,Groww,Bangalore
Engineering,CSE,DevOps Engineer,Startup,Postman,Bangalore
Engineering,CSE,Frontend Developer,Mid,Infosys,Bangalore
Engineering,CSE,Backend Developer,Mid,TCS,Hyderabad
Engineering,CSE,Full Stack Developer,Mid,Wipro,Bangalore
Engineering,CSE,Software Engineer,Mid,Cognizant,Chennai
Engineering,CSE,DevOps Engineer,Mid,Accenture,Pune
Engineering,CSE,Frontend Developer,High,Google,Bangalore
Engineering,CSE,Backend Developer,High,Amazon,Hyderabad
Engineering,CSE,Full Stack Developer,High,Microsoft,Hyderabad
Engineering,CSE,Software Engineer,High,Apple,Bangalore
Engineering,CSE,DevOps Engineer,High,Netflix,Remote
Engineering,ECE,Embedded Engineer,Startup,Sankalp Semiconductor,Hubli
Engineering,ECE,VLSI Engineer,Startup,Invecas,Hyderabad
Engineering,ECE,IoT Engineer,Startup,Stellapps,Bangalore
Engineering,ECE,Network Engineer,Startup,Tejas Networks,Bangalore
Engineering,ECE,Signal Processing Engineer,Startup,Saankhya Labs,Bangalore
Engineering,ECE,Embedded Engineer,Mid,L&T Technology Services,Bangalore
Engineering,ECE,VLSI Engineer,Mid,Tata Elxsi,Bangalore
Engineering,ECE,IoT Engineer,Mid,Bosch,Bangalore
Engineering,ECE,Network Engineer,Mid,Cisco,Bangalore
Engineering,ECE,Signal Processing Engineer,Mid,Qualcomm,Hyderabad
Engineering,ECE,Embedded Engineer,High,Intel,Bangalore
Engineering,ECE,VLSI Engineer,High,AMD,Bangalore
Engineering,ECE,IoT Engineer,High,Samsung R&D,Bangalore
Engineering,ECE,Network Engineer,High,Ericsson,Gurgaon
Engineering,ECE,Signal Processing Engineer,High,NVIDIA,Pune
Engineering,EEE,Electrical Engineer,Startup,Exicom,Gurgaon
Engineering,EEE,Power Systems Engineer,Startup,Ampere Vehicles,Chennai
Engineering,EEE,Control Systems Engineer,Startup,Gridbots,Ahmedabad
Engineering,EEE,PLC Engineer,Startup,Addverb,Noida
Engineering,EEE,Automation Engineer,Startup,Festo India,Bangalore
Engineering,EEE,Electrical Engineer,Mid,ABB India,Bangalore
Engineering,EEE,Power Systems Engineer,Mid,Schneider Electric,Bangalore
Engineering,EEE,Control Systems Engineer,Mid,L&T,Mumbai
Engineering,EEE,PLC Engineer,Mid,Siemens,Pune
Engineering,EEE,Automation Engineer,Mid,Rockwell Automation,Bangalore
Engineering,EEE,Electrical Engineer,High,Hitachi Energy,Vadodara
Engineering,EEE,Power Systems Engineer,High,GE Power,Noida
Engineering,EEE,Control Systems Engineer,High,Honeywell,Bangalore
Engineering,EEE,PLC Engineer,High,Mitsubishi Electric,Pune
Engineering,EEE,Automation Engineer,High,Siemens Energy,Gurgaon
Engineering,Mechanical,Design Engineer,Startup,Ather Energy,Bangalore
Engineering,Mechanical,Production Engineer,Startup,Ola Electric,Bangalore
Engineering,Mechanical,Manufacturing Engineer,Startup,TVS iQube,Chennai
Engineering,Mechanical,Quality Engineer,Startup,ReNew Power,Gurgaon
Engineering,Mechanical,Maintenance Engineer,Startup,BluSmart,Delhi
Engineering,Mechanical,Design Engineer,Mid,TVS Motors,Chennai
Engineering,Mechanical,Production Engineer,Mid,Ashok Leyland,Chennai
Engineering,Mechanical,Manufacturing Engineer,Mid,Mahindra,Pune
Engineering,Mechanical,Quality Engineer,Mid,Bosch,Bangalore
Engineering,Mechanical,Maintenance Engineer,Mid,L&T Heavy Engineering,Hazira
Engineering,Mechanical,Design Engineer,High,Siemens,Pune
